id,company_name,title,description,experience,education,employment_type,salary,location,deadline,tech_stack,created_at
,아이다이나믹스,[iDynamics] AI Engineer 신입 및 경력 채용,,경력무관,대졸↑,정규직,,서울 서초구,"~ 01/09(목)
입사지원",,
,(주)옵트에이아이,(병역특례가능) Vision AI Application Engineer,,경력무관,석사↑,정규직·전문연구요원,,서울 강서구,"상시채용
입사지원",,
,아우토크립트(주),자동차 사이버보안 테스트 솔루션 개발자(신입/경력/병특),,경력무관,대졸↑,정규직,,서울 영등포구,"~ 01/03(금)
홈페이지 지원",,
,블루닷(주),코덱SW엔지니어 (화질분석/신입),,신입·경력,대졸↑,정규직,,서울전체,"~ 12/17(화)
입사지원",,
,주식회사 빅밸류,[빅밸류] Data Scientist(공통) 모집,,경력무관,학력무관,정규직,,서울 중구,"~ 12/18(수)
입사지원",,
,(주)나비프라,[나비프라] AI 엔지니어,,경력무관,석사↑,정규직,,서울 서초구,"~ 12/29(일)
입사지원",,
,(주)에너자이,Runtime 소프트웨어 엔지니어 채용 (병역특례 가능),,신입·경력,고졸↑,정규직,,서울전체,"~ 12/26(목)
입사지원",,
,(주)디알젬,본사 각 부문별 채용,,신입·경력,초대졸↑,정규직,,서울전체,"~ 12/20(금)
입사지원",,
,(주)에너자이,AI 컴파일러 엔지니어 채용 (병역특례 가능),,신입·경력,대졸↑,정규직,,서울전체,"~ 12/26(목)
입사지원",,
,(주)헥토이노베이션,헥토이노베이션 직군별 인재 모집,,신입·경력,초대졸↑,정규직,,서울전체,"~ 12/31(화)
홈페이지 지원",,
,오픈엣지테크놀로지(주),[DRAM PHY] SI/PI Engineer,,신입·경력,학력무관,정규직,,서울전체,"~ 01/01(수)
입사지원",,
,(주)에이스웍스코리아,소프트웨어 엔지니어,,신입·경력,초대졸↑,정규직,,서울전체,"~ 12/31(화)
입사지원",,
,이에이트(주),[코스닥 상장사] 이에이트 신입 및 경력 채용,,신입·경력,학력무관,정규직·전문연구요원,,서울 송파구,"~ 12/31(화)
입사지원",,
,(주)콘텐츠브릿지,[신입] Cloud & 데이터센터 영업 담당자 모집,,신입,초대졸↑,정규직,,서울 강남구,"~ 12/18(수)
입사지원",,
,(주)테솔로,로봇/로보틱스 S/W 엔지니어 모집(인턴/신입/경력/전문연구요원),,신입·경력,대졸↑,정규직·인턴직,,경기 광명시,"~ 12/31(화)
입사지원",,
,(주)미라클인터랙티브,마케팅 플랫폼 개발자 신입/경력 채용,,경력무관,학력무관,정규직,,서울전체,"~ 12/25(수)
입사지원",,
,우나스텔라(주),[우나스텔라] 발사체 시스템 소프트웨어 엔지니어 채용,,경력무관,대졸↑,정규직,,서울 마포구,"~ 01/07(화)
입사지원",,
,(주)코더블,교육콘텐츠 개발 연구원(SW/AI 분야) 채용,,신입·경력,학력무관,정규직,,서울전체,"~ 12/25(수)
입사지원",,
,(주)픽셀스코프,PIXELSCOPE (스포츠 AI 자동 중계) 신입/경력 모집,,경력무관,대졸↑,정규직,,서울 강남구,"채용시
홈페이지 지원",,
,(주)코더블,교육콘텐츠 개발 연구원(SW/AI 분야) 채용,,신입·경력,학력무관,정규직,,서울전체,"~ 12/25(수)
입사지원",,
,(주)픽셀스코프,PIXELSCOPE (스포츠 AI 자동 중계) 신입/경력 모집,,경력무관,대졸↑,정규직,,서울 강남구,"채용시
홈페이지 지원",,
,(주)엠플러스,SW개발팀 신입 채용,,신입,대졸↑,정규직,,서울전체,"~ 12/31(화)
입사지원",,
,(주)네오플,[네오플] 게임기획/게임사업/웹 직군 인재 모집 (근무지 : 서울),,신입·경력,학력무관,정규직,,서울 강남구,"내일마감
홈페이지 지원",,
,(주)씨메스,"2D/3D Detection, Vision Inspection Engineer",,신입·경력,대졸↑,정규직,,서울전체,"~ 12/27(금)
점핏에서 지원",,
,(주)아리아스튜디오,언리얼 엔진 (테크니컬/리얼타임 아티스트) 신입/경력 모집,,신입·경력,학력무관,정규직,,서울 강남구,"~ 12/26(목)
입사지원",,
,블루닷(주),반도체 회로 설계 개발자 (신입),,신입·경력,대졸↑,정규직,,서울전체,"~ 12/17(화)
입사지원",,
,(주)네오플,[네오플] 게임그래픽 직군 분야별 모집 (근무지 : 서울),,경력무관,학력무관,정규직,,서울 강남구,"내일마감
홈페이지 지원",,
,(주)로보티즈,[로봇 매니퓰레이터(다관절로봇)] 설계/제어/SW 개발자 모집,,경력무관,대졸↑,정규직·전문연구요원,,서울 강서구,"상시채용
입사지원",,
,(주)휴비스,[(주) 휴비스 서울지사] 로봇분야 (개발/PLC) 신입 및 경력 모집,,경력무관,초대졸↑,정규직,,서울 송파구,"채용시
입사지원",,
,한국펀드평가(주),[한국펀드평가] 평가1본부/평가3본부 신입 채용,,신입,대졸↑,정규직,,서울 종로구,"~ 12/31(화)
홈페이지 지원",,
,메리츠화재해상보험(주),2024년 메리츠화재 하반기 각 부문별 신입/경력 채용,,신입·경력,초대졸↑,정규직·계약직,,서울전체,"~ 12/18(수)
홈페이지 지원",,
,(주)순이엔티,"생성형 AI 영상팀 신설에 의한 [기획,제작자]및[엔지니어]모집",,경력무관,학력무관,정규직,,서울 마포구,"~ 12/18(수)
입사지원",,
,알피니언메디칼시스템,초음파 진단기 AOP 엔지니어링_UE파트 연구원~선임급 채용 [일진그룹 계열사],,신입·경력,대졸↑,정규직,,서울전체,"~ 12/31(화)
입사지원",,
,인더스마트(주),인더스마트(주)  정규직 모집 공고 (인사총무팀),,신입·경력,대졸↑,정규직,,서울 종로구,"~ 12/28(토)
입사지원",,
,(주)이에이엔테크놀로지,"[EAN테크놀로지] 건물에너지관리시스템 구축 및 운영, 행정 담당",,경력무관,대졸↑,정규직,,서울 강남구,"~ 12/21(토)
입사지원",,
,(주)파이오링크,"[코스닥 상장사] Linux,Python,Java,Api 개발자 모집(신입/경력)",,신입·경력,초대졸↑,정규직,,서울 금천구,"~ 12/31(화)
입사지원",,
,(주)바인컨설팅,코스닥 상장 로봇기업 SI/SW개발(신입/대리),,신입·경력,대졸↑,정규직,,서울 강남구,"내일마감
입사지원",,
,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 모집",,신입·경력,대졸↑,정규직,,서울 강남구,"~ 12/20(금)
입사지원",,
,(주)콘텐츠브릿지,경영지원팀 인사/총무 담당자 채용 (신입),,신입,초대졸↑,정규직,,서울 강남구,"~ 12/20(금)
입사지원",,
,조베이스(주),[솔루션] 백엔드 개발자 모집(python),,경력무관,대졸↑,정규직,,서울 강남구,"~ 01/08(수)
입사지원",,
,(주)뉴로다임,파이썬 프로그램 개발자,,신입·경력,초대졸↑,정규직,,서울전체,"~ 01/02(목)
점핏에서 지원",,
,(주)케이엘피,파이썬(Python) 크롤링 가능하신분 구합니다.,,경력무관,고졸↑,정규직·계약직,,서울 강남구,"내일마감
입사지원",,
,엠피에스이(주),CFD 열유동해석 엔지니어 채용 (CFD Simulation),,신입,대졸↑,정규직,,서울 금천구,"~ 12/20(금)
입사지원",,
,NIMBYX CAPITAL INC.,"Full Stack Engineer (Python, C# Developer) 풀스택 개발자",,신입·경력,대졸↑,정규직,,서울 강남구,"~ 01/20(월)
입사지원",,
,(주)케이엘피,파이썬(Python) 기반의 풀스택 개발자 모십니다.,,경력무관,고졸↑,정규직·계약직,,서울 강남구,"내일마감
입사지원",,
,(주)에프아이솔루션,[Python 프로그래밍] 백엔드/서버개발 경력직 모집,,경력무관,학력무관,정규직·계약직,,서울 금천구,"~ 01/12(일)
입사지원",,
,(주)바이오바이츠,생물정보분석 연구원 모집,,경력무관,석사↑,정규직·계약직,,서울 마포구,"~ 12/18(수)
입사지원",,
,(주)사람인,[사람인] 데이터 엔지니어 (전환형인턴),,신입·경력,학력무관,정규직,,서울전체,"~ 12/22(일)
입사지원",,
,(주)제노레이,[신입/경력] 소프트웨어(SW) 우수인재 모집,,경력무관,대졸↑,정규직,,서울 강남구,"~ 12/27(금)
입사지원",,
